Country,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,CasesPer1M,DeathsPer1M,TotalTests,TestsPer1M,WHORegion,iso_alpha,CaseFatalityRate,RecoveryRate,ActiveCaseRate,TestsPerCase
Guadeloupe,North America,400131.0,279,0.0,14.0,0.0,179.0,0.0,86.0,0.0,697.0,35.0,18476.0,46175.0,Unknown,FRA,5.02,64.16,30.82,66.22
Martinique,North America,375235.0,276,0.0,15.0,0.0,98.0,0.0,163.0,1.0,736.0,40.0,12227.0,32585.0,Unknown,MTQ,5.43,35.51,59.06,44.3
Faeroe Islands,Europe,48882.0,266,0.0,119.0,0.0,192.0,0.0,74.0,1.0,5442.0,29.0,43045.0,880590.0,Unknown,,44.74,72.18,27.82,161.82
Aruba,North America,106812.0,263,0.0,3.0,0.0,114.0,0.0,146.0,0.0,2462.0,28.0,14047.0,131511.0,Unknown,ABW,1.14,43.35,55.51,53.41
Cambodia,Asia,16741375.0,243,0.0,119.0,0.0,210.0,0.0,33.0,1.0,15.0,29.0,67807.0,4050.0,WesternPacific,KHM,48.97,86.42,13.58,279.04
Trinidad and Tobago,North America,1399950.0,210,0.0,8.0,0.0,135.0,0.0,67.0,0.0,150.0,6.0,9559.0,6828.0,Americas,TTO,3.81,64.29,31.9,45.52
Cayman Islands,North America,65798.0,203,0.0,1.0,0.0,202.0,0.0,0.0,0.0,3085.0,15.0,31108.0,472780.0,Unknown,CYM,0.49,99.51,0.0,153.24
Gibraltar,Europe,33690.0,190,0.0,119.0,0.0,184.0,0.0,6.0,0.0,5640.0,29.0,23063.0,684565.0,Unknown,GIB,62.63,96.84,3.16,121.38
Papua New Guinea,Australia/Oceania,8963009.0,163,0.0,3.0,0.0,53.0,0.0,107.0,0.0,18.0,0.3,10808.0,1206.0,WesternPacific,PNG,1.84,32.52,65.64,66.31
Sint Maarten,North America,42924.0,160,0.0,16.0,0.0,64.0,0.0,80.0,3.0,3728.0,373.0,1115.0,25976.0,Unknown,NLD,10.0,40.0,50.0,6.97
Bermuda,North America,62254.0,157,0.0,9.0,0.0,144.0,0.0,4.0,0.0,2522.0,145.0,26352.0,423298.0,Americas,BMU,5.73,91.72,2.55,167.85
Brunei,Asia,437893.0,141,0.0,3.0,0.0,138.0,0.0,0.0,0.0,322.0,7.0,41148.0,93968.0,Unknown,BRN,2.13,97.87,0.0,291.83
Barbados,North America,287411.0,133,0.0,7.0,0.0,100.0,0.0,26.0,0.0,463.0,24.0,12233.0,42563.0,Americas,BRB,5.26,75.19,19.55,91.98
Turks and Caicos,North America,38768.0,129,0.0,2.0,0.0,39.0,0.0,88.0,3.0,3327.0,52.0,1252.0,32295.0,Unknown,TCA,1.55,30.23,68.22,9.71
Seychelles,Africa,98408.0,126,0.0,119.0,0.0,124.0,0.0,2.0,0.0,1280.0,29.0,135702.0,32585.0,Africa,SYC,94.44,98.41,1.59,1077.0
Monaco,Europe,39270.0,125,0.0,4.0,0.0,105.0,0.0,16.0,2.0,3183.0,102.0,38209.0,972982.0,Europe,MCO,3.2,84.0,12.8,305.67
Bhutan,Asia,772443.0,105,0.0,119.0,0.0,93.0,0.0,12.0,0.0,136.0,29.0,54589.0,70671.0,South-EastAsia,BTN,113.33,88.57,11.43,519.9
Antigua and Barbuda,North America,98010.0,92,0.0,3.0,0.0,76.0,0.0,13.0,1.0,939.0,31.0,1500.0,15305.0,Americas,ATG,3.26,82.61,14.13,16.3
Liechtenstein,Europe,38139.0,89,0.0,1.0,0.0,85.0,0.0,3.0,0.0,2334.0,26.0,900.0,23598.0,Europe,LIE,1.12,95.51,3.37,10.11
Belize,North America,398312.0,86,0.0,2.0,0.0,31.0,0.0,53.0,2.0,216.0,5.0,3679.0,9236.0,Americas,BLZ,2.33,36.05,61.63,42.78
French Polynesia,Australia/Oceania,281072.0,64,0.0,119.0,0.0,62.0,0.0,2.0,0.0,228.0,29.0,5849.0,20810.0,Unknown,PYF,185.94,96.88,3.12,91.39
